Order_ID	Order_Priority	Order_Quantity	Sales	Ship_Mode	Profit	Customer_Name	Region	Customer_Segment	Product_Category	Product_Sub-Category	Product_Name	Product_Container
643	High	21	2781.82	Express Air	-695.26	Monica Federle	Nunavut	Corporate	Office Supplies	Storage & Organization	SAFCO Commercial Wire Shelving, Black	Large Box
8995	High	35	3389.93	Express Air	737.94	Beth Paige	Northwest Territories	Consumer	Furniture	Office Furnishings	Luxo Professional Combination Clamp-On Lamps	Large Box
9127	Not Specified	7	2039.56	Express Air	-329.49	Bryan Davis	Northwest Territories	Corporate	Office Supplies	Storage & Organization	Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units	Large Box
26272	Low	6	905.94	Express Air	-4.19	Carlos Daly	Northwest Territories	Home Office	Furniture	Chairs & Chairmats	Hon Olson Stacker Stools	Large Box
36646	Medium	24	1168.15	Express Air	-743.96	Muhammed MacIntyre	Northwest Territories	Small Business	Office Supplies	Storage & Organization	Tennsco Industrial Shelving	Large Box
41696	Not Specified	45	237.28	Express Air	-2088.68	Bryan Mills	Northwest Territories	Small Business	Office Supplies	Appliances	Hoover Portapower™ Portable Vacuum	Large Box
43267	Critical	17	1368.14	Express Air	171.26	Fred Wasserman	Northwest Territories	Home Office	Office Supplies	Appliances	Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room	Large Box
29319	Low	21	4429.69	Express Air	983.55	Filia McAdams	Atlantic	Small Business	Technology	Copiers and Fax	Canon PC-428 Personal Copier	Large Box
5988	Not Specified	40	19109.61	Express Air	-379.29	Sanjit Chand	West	Home Office	Technology	Copiers and Fax	Sharp AL-1530CS Digital Copier	Large Box
51073	Not Specified	17	2475.08	Express Air	958.80	Luke Weiss	West	Corporate	Furniture	Office Furnishings	3M Polarizing Task Lamp with Clamp Arm, Light Gray	Large Box
29185	High	48	446.53	Express Air	-261.45	Rob Dowd	West	Corporate	Furniture	Office Furnishings	Westinghouse Clip-On Gooseneck Lamps	Large Box
32582	Not Specified	27	2780.88	Express Air	595.38	Tony Chapman	West	Consumer	Furniture	Office Furnishings	Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting	Large Box
39332	Critical	4	198.72	Express Air	-34.43	Khloe Miller	West	Consumer	Furniture	Office Furnishings	Dana Halogen Swing-Arm Architect Lamp	Large Box
49088	Critical	15	4012.58	Express Air	-425.14	Kristina Nunn	Atlantic	Consumer	Office Supplies	Storage & Organization	Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units	Large Box
29318	Not Specified	21	2954.14	Express Air	-522.94	Bobby Odegard	Ontario	Corporate	Office Supplies	Storage & Organization	SAFCO Commercial Wire Shelving, Black	Large Box
50533	Not Specified	32	1974.66	Express Air	-929.68	Adam Bellavance	Ontario	Small Business	Office Supplies	Storage & Organization	Space Solutions Commercial Steel Shelving	Large Box
21383	Low	31	16066.85	Regular Air	7416.43	Rick Reed	Northwest Territories	Consumer	Technology	Office Machines	Polycom ViaVideo™ Desktop Video Communications Unit	Large Box
48197	Not Specified	32	1282.49	Regular Air	154.74	Anthony O'Donnell	West	Consumer	Furniture	Office Furnishings	Dana Halogen Swing-Arm Architect Lamp	Large Box
25031	High	24	4636.62	Regular Air	-318.45	Sally Knutson	West	Consumer	Furniture	Tables	Hon 2111 Invitation™ Series Corner Table	Large Box
38758	Not Specified	7	497.2	Regular Air	-219.61	Justin Hirsh	West	Consumer	Office Supplies	Appliances	Euro Pro Shark Stick Mini Vacuum	Large Box
41895	Critical	8	27663.92	Regular Air	-391.92	Tony Chapman	West	Consumer	Technology	Copiers and Fax	Canon imageCLASS 2200 Advanced Copier	Large Box
53894	Critical	37	2756.17	Regular Air	-1561.72	Cathy Armstrong	Atlantic	Consumer	Furniture	Tables	Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table	Large Box
11969	Not Specified	16	1684.96	Regular Air	-553.06	Ivan Liston	Atlantic	Consumer	Office Supplies	Storage & Organization	Carina Mini System Audio Rack, Model AR050B	Large Box
22368	Medium	34	2788.04	Regular Air	-849.18	Sarah Jordon	Atlantic	Consumer	Office Supplies	Storage & Organization	Carina 42"Hx23 3/4"W Media Storage Unit	Large Box
4612	Medium	9	89.55	Regular Air	-375.64	Jim Radford	Nunavut	Corporate	Office Supplies	Appliances	Hoover Portapower™ Portable Vacuum	Large Box
7110	Low	22	6396.2	Regular Air	1902.24	Grant Carroll	Nunavut	Corporate	Furniture	Chairs & Chairmats	SAFCO Arco Folding Chair	Large Box
9927	High	44	10087.6	Regular Air	3387.35	Grant Carroll	Northwest Territories	Corporate	Furniture	Chairs & Chairmats	Lifetime Advantage™ Folding Chairs, 4/Carton	Large Box
11456	Low	15	1519.9	Regular Air	399.37	Doug Bickford	Northwest Territories	Corporate	Furniture	Office Furnishings	Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting	Large Box
24743	Low	26	3758.77	Regular Air	753.61	Sylvia Foulston	Northwest Territories	Corporate	Furniture	Chairs & Chairmats	Hon Olson Stacker Stools	Large Box
30658	Medium	35	17387.65	Regular Air	6907.61	Charles McCrossin	Northwest Territories	Corporate	Technology	Copiers and Fax	Sharp AL-1530CS Digital Copier	Large Box
30658	Medium	44	6040.22	Regular Air	-942.50	Charles McCrossin	Northwest Territories	Corporate	Office Supplies	Storage & Organization	SAFCO Commercial Wire Shelving, Black	Large Box
31393	Critical	4	97.57	Regular Air	-27.31	Cindy Schnelling	Northwest Territories	Corporate	Furniture	Office Furnishings	Luxo Economy Swing Arm Lamp	Large Box
34631	Not Specified	19	12616.2	Regular Air	2808.22	Brendan Dodson	Northwest Territories	Corporate	Technology	Copiers and Fax	Canon PC1060 Personal Laser Copier	Large Box
39683	High	41	8387.1	Regular Air	2113.95	Jeremy Lonsdale	Northwest Territories	Corporate	Furniture	Chairs & Chairmats	Lifetime Advantage™ Folding Chairs, 4/Carton	Large Box
42209	High	31	8901.78	Regular Air	2795.36	Alan Barnes	Northwest Territories	Corporate	Furniture	Chairs & Chairmats	SAFCO Arco Folding Chair	Large Box
52964	Critical	44	5735.79	Regular Air	828.27	Jim Radford	Northwest Territories	Corporate	Furniture	Office Furnishings	3M Polarizing Task Lamp with Clamp Arm, Light Gray	Large Box
4007	High	1	305.82	Regular Air	-232.24	Jack Lebron	Atlantic	Corporate	Office Supplies	Storage & Organization	Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units	Large Box
11362	Low	9	6420.87	Regular Air	-690.21	Hilary Holden	Atlantic	Corporate	Technology	Copiers and Fax	Canon PC1060 Personal Laser Copier	Large Box
18788	Not Specified	27	566.12	Regular Air	-19.33	Joy Smith	Atlantic	Corporate	Furniture	Office Furnishings	Telescoping Adjustable Floor Lamp	Large Box
20033	Critical	5	2543.95	Regular Air	-1011.32	Jack Lebron	Atlantic	Corporate	Technology	Copiers and Fax	Sharp AL-1530CS Digital Copier	Large Box
22469	High	24	1482.81	Regular Air	-678.63	Jack Lebron	Atlantic	Corporate	Office Supplies	Appliances	Euro Pro Shark Stick Mini Vacuum	Large Box
22469	High	23	6693.28	Regular Air	40.32	Jack Lebron	Atlantic	Corporate	Furniture	Tables	Hon 5100 Series Wood Tables	Large Box
